,star_ra_deg,star_dec_deg,star_distance_pc,star_radius_solar,star_teff_k,planet_orbit_semi_major_axis_au,planet_orbit_eccentricity,planet_orbit_inclination_deg,planet_radius_earth,planet_equilibrium_temp_k,planet_orbital_period_days,star_luminosity_solar,ra_rad,dec_rad,star_cartesian_x,star_cartesian_y,star_cartesian_z,star_habitable_zone_inner_au,star_habitable_zone_outer_au
92,100.7656871,-1.2964437,1126.37,1.12,5675.0,0.04016,0.07,85.48,16.14,1442.0,2.828042,0.07,1.7586930129293765,-0.022627211131737608,-210.34419038890547,1106.2618324512428,-25.48443704016237,0.2522624895547565,0.3634218921558155
93,102.7211432,-5.0864557,1148.93,1.01,5945.0,0.051,0.0,88.02,9.92,1700.0,4.03519,0.073,1.792822160252584,-0.08877539922183295,-252.00517914444902,1116.3142500684899,-101.86279830438376,0.2576114057328137,0.37112780690296404
94,103.4242023,-5.5360385,1744.6,1.21,6035.0,0.027,0.0,79.6,12.22,1952.0,1.51214,0.119,1.8050928563836923,-0.0966220993421681,-403.1350818003199,1689.0188798293425,-168.30475157250387,0.32891004572955534,0.473844174689098
95,278.5246658,-6.0026026,732.409,1.19,5650.0,0.0618,0.33,85.01,13.11,,5.35227,-0.435,4.861172466226846,-0.10476517905877218,107.97350459494113,-720.3461211594126,-76.5906738257017,,
96,278.699236,-6.612288,1176.12,1.59,5740.0,0.0461,0.0,88.34,11.43,1626.0,3.7681,0.134,4.864219290992711,-0.11540619669011082,176.70209655953713,-1154.8563625714273,-135.43044450844667,0.34902461491731757,0.5028222237324493
97,98.1724172,-0.0316045,764.889,1.0,5440.0,0.0295,0.08,86.5,14.68,1550.0,1.9000693,-0.17,1.7134319147815125,-0.0005516025834465479,-108.73081222747199,757.1212682135653,-0.4219147270541696,,
98,97.0335983,-0.1707293,790.663,1.65,6090.0,0.0518,0.047,88.0,14.46,2000.0,3.89713,0.544,1.6935557753925723,-0.002979788414625155,-96.81732383965063,784.7093950082115,-2.3560049607199036,0.7032392583932261,1.0131214608030088
99,291.7770457,1.3836634,213.283,0.91,5625.0,0.02798,0.0143,88.08,16.432,1521.0,1.7429935,-0.131,5.092470129206963,0.02414948206933931,79.10403099060616,-198.0042072392557,5.150173355441789,,
100,97.7204249,0.2268931,844.061,1.02,5880.0,0.09,0.59,88.21,9.416,1024.0,9.24285,0.17,1.7055431609528504,0.003960031645056746,-113.3897966313425,836.403343750948,3.3424995342458543,0.3931226965534482,0.5663521139548541
101,97.7204249,0.2268931,844.061,1.37,4947.5,2.9,0.6,,12.2,,1675.0,0.006,1.7055431609528504,0.003960031645056746,-113.3897966313425,836.403343750948,3.3424995342458543,0.07385489458759964,0.1063990353197863
